date,p1_name,p2_name,pick,side,odds,stake,pnl,result,event_id
2026-03-28T20:10:00Z,Jiri Grohsgott,Pavel Berdych,Jiri Grohsgott,P1,3.4,25.0,60.0,WIN,6577092674409595184
2026-03-27T23:11:00Z,David Horak,Milan Kolar,David Horak,P1,1.59,100.0,58.82,WIN,1765038671641313554
2026-03-27T17:14:00Z,Martin Sychra,Lukas Tonar,Martin Sychra,P1,7.0,25.0,-25.0,LOSS,2088926757490131218
2026-03-27T14:33:00Z,Jan Dzida,Tomas Dousek,Jan Dzida,P1,1.53,80.0,42.11,WIN,2515936696730779923
2026-03-27T10:38:00Z,Kyryl Darin,Vladimir Postelt,Kyryl Darin,P1,2.3,200.0,-200.0,LOSS,8358958048647184658
2026-03-27T10:33:00Z,Kyryl Darin,Vladimir Postelt,Kyryl Darin,P1,2.3,350.0,-350.0,LOSS,230651936100188465
2026-03-26T12:55:00Z,Milan Longin,Vaclav Dolezal,Vaclav Dolezal,P2,1.63,250.0,156.25,WIN,2698819681791377687
2026-03-26T09:00:00Z,Adam Pokorny,Ondrej Paril,Adam Pokorny,P1,1.91,125.0,-125.0,LOSS,646158951657898262
2026-03-25T17:14:00Z,Petr Sebera,Michal Vondrak,Petr Sebera,P1,1.83,325.0,270.83,WIN,4368777504828293424
2026-03-24T19:48:00Z,Sebastian Kasnik,Ondrej Svacha,Sebastian Kasnik,P1,1.95,100.0,95.24,WIN,4269588262542246193
2026-03-24T19:47:00Z,Sebastian Kasnik,Ondrej Svacha,Sebastian Kasnik,P1,2.45,100.0,145.0,WIN,7143426884037116209
2026-03-24T19:47:00Z,Sebastian Kasnik,Ondrej Svacha,Sebastian Kasnik,P1,3.1,100.0,210.0,WIN,354429116415607059
2026-03-24T19:46:00Z,Sebastian Kasnik,Ondrej Svacha,Sebastian Kasnik,P1,4.0,25.0,75.0,WIN,396047830550184210
2026-03-24T19:46:00Z,Sebastian Kasnik,Ondrej Svacha,Sebastian Kasnik,P1,2.45,25.0,36.25,WIN,9168732250202833171
2026-03-24T12:57:00Z,Daniel Unzeitig,Lukas Kern,Daniel Unzeitig,P1,1.65,100.0,64.52,WIN,1440355299851632944
2026-03-23T12:04:00Z,Tadeas Zika,Ondrej Paril,Tadeas Zika,P1,2.25,100.0,-100.0,LOSS,4098886618763624726
2026-03-22T12:21:00Z,Vratislav Petracek,Lukas Jindrak,Vratislav Petracek,P1,2.0,600.0,600.0,WIN,9134713164078907696
2026-03-21T21:06:00Z,Petr Bruzek,Milan Cetner,Milan Cetner,P2,2.8,90.0,162.0,WIN,7332783443388006675
2026-03-21T16:06:00Z,Matej Volf,Frantisek Just,Frantisek Just,P2,3.2,80.0,-4.0,CASHOUT,1997137443341599025
2026-03-20T14:48:00Z,Tomas Petrek,Dominik Oborny,Tomas Petrek,P1,1.77,20.0,15.38,WIN,4362189923047047446
2026-03-20T11:39:00Z,Petr Saleny,Jiri Ruzicka,Petr Saleny,P1,2.0,100.0,0.0,CASHOUT,7340134355613909270
2026-03-19T13:07:00Z,Matej Levicky,Miroslav Kowolowski,Miroslav Kowolowski,P2,1.91,115.0,104.55,WIN,8818616336340091154
2026-03-19T11:08:00Z,Viktor Vejvoda,Jiri Ruzicka,Viktor Vejvoda,P1,2.6,180.0,-180.0,LOSS,3024455680212992274
2026-03-19T08:08:00Z,Daniel Tuma,Martin Sychra,Daniel Tuma,P1,2.95,50.0,47.5,WIN,6914843656147042583
2026-03-17T17:36:00Z,Jan Zajicek,Michal Vavrecka,Michal Vavrecka,P2,5.0,50.0,-50.0,LOSS,7849356312096932119
2026-03-17T17:36:00Z,Jan Zajicek,Michal Vavrecka,Michal Vavrecka,P2,4.25,50.0,-50.0,LOSS,8046685663933890838
2026-03-17T12:07:00Z,Tadeas Zika,Michael Sedlacek,Tadeas Zika,P1,2.35,100.0,-100.0,LOSS,5662613726327603504
2026-03-17T12:06:00Z,Tadeas Zika,Michael Sedlacek,Tadeas Zika,P1,2.35,350.0,0.0,CASHOUT,3268820369691246896
2026-03-17T11:10:00Z,Ondrej Paril,Tadeas Zika,Ondrej Paril,P1,1.54,150.0,0.0,CASHOUT,6685921106580341014
2026-03-17T09:07:00Z,Tadeas Zika,Michal Cabis,Tadeas Zika,P1,2.2,50.0,10.0,WIN,578820094508007703
2026-03-17T09:03:00Z,Tadeas Zika,Michal Cabis,Tadeas Zika,P1,2.2,400.0,480.0,WIN,2884952000401899798
