date,p1_name,p2_name,pick,side,odds,stake,pnl,result,event_id
2026-04-14T20:30:00Z,"Urbaniec, Radim",,"Urbaniec, Radim",P2,1.535,467.5,250.0,WIN,BO-954801189-1
2026-04-14T19:00:00Z,"Kanak, Alois",,"Kanak, Alois",P2,1.667,50.0,33.33,WIN,BO-954787480-1
2026-04-14T19:00:00Z,"Kanak, Alois",,"Kanak, Alois",P2,1.714,29.16,20.83,WIN,BO-954786916-1
2026-04-14T19:00:00Z,"Kanak, Alois",,"Kanak, Alois",P2,1.833,275.0,229.17,WIN,BO-954785937-1
2026-04-14T19:00:00Z,"Nohejl, Vaclav 1975",,"Nohejl, Vaclav 1975",P2,1.735,150.0,-150.0,LOSS,BO-954785752-1
2026-04-14T19:00:00Z,"Kanak, Alois",,"Kanak, Alois",P2,1.909,275.0,250.0,WIN,BO-954785620-1
2026-04-14T19:00:00Z,"Parhomenko, Dmitro",,"Parhomenko, Dmitro",P2,1.82,200.0,163.93,WIN,BO-954785409-1
2026-04-14T16:00:00Z,"Stach, Jiri",,"Stach, Jiri",P1,1.714,25.0,17.86,WIN,BO-954759727-1
2026-04-14T16:00:00Z,"Stach, Jiri",,"Stach, Jiri",P1,1.714,25.0,17.86,WIN,BO-954758291-1
2026-04-14T07:00:00Z,"Petrek, Tomas",,"Petrek, Tomas",P2,1.926,235.0,-235.0,LOSS,BO-954718239-1
2026-04-14T02:00:00Z,"Batog, Tomek",,"Batog, Tomek",P2,1.592,150.0,88.76,WIN,BO-954669130-1
2026-04-14T02:00:00Z,"Cetner, Milan",,"Cetner, Milan",P2,1.254,375.0,95.42,WIN,BO-954668858-1
2026-04-14T01:30:00Z,"Svacha, Ondrej",,"Svacha, Ondrej",P2,1.82,50.0,-50.0,LOSS,BO-954664255-1
2026-04-14T00:00:00Z,"Mikuska, Alexander",,"Mikuska, Alexander",P2,1.297,25.0,7.42,WIN,BO-954651589-1
2026-04-13T07:00:00Z,"Mecl, Jan",,"Mecl, Jan",P2,1.588,39.85,23.44,WIN,BO-954543700-1
2026-04-13T07:00:00Z,"Mecl, Jan",,"Mecl, Jan",P2,1.625,362.5,226.56,WIN,BO-954542913-1
2026-04-13T07:00:00Z,"Mecl, Jan",,"Mecl, Jan",P2,1.69,362.5,250.0,WIN,BO-954542831-1
2026-04-12T07:30:00Z,"Sobisek, Martin",,"Sobisek, Martin",P2,3.35,140.0,-140.0,LOSS,BO-954288894-1
2026-04-11T18:00:00Z,"Janata, Tomas",,"Janata, Tomas",P2,1.926,108.0,-108.0,LOSS,BO-954055716-1
2026-04-05T16:00:00Z,"Tuma, Daniel",,"Tuma, Daniel",P1,1.82,244.0,200.0,WIN,BO-952442649-1
2026-04-04T16:00:00Z,"Pagac, Zbynek",,"Pagac, Zbynek",P1,2.18,250.0,-250.0,LOSS,BO-952004372-1
2026-04-04T16:00:00Z,"Regner, Tomas",,"Regner, Tomas",P1,2.15,150.0,172.5,WIN,BO-951976169-1
2026-04-04T16:00:00Z,"Taichman, Ivo",,"Taichman, Ivo",P1,1.676,225.0,152.03,WIN,BO-951913004-1
2026-04-03T16:00:00Z,"Priesol, Daniel",,"Priesol, Daniel",P1,2.79,56.0,-56.0,LOSS,BO-951706515-1
2026-04-03T16:00:00Z,"Sobisek, Martin",,"Sobisek, Martin",P1,2.05,100.0,105.0,WIN,BO-951668434-1
2026-04-03T16:00:00Z,"Sobisek, Martin",,"Sobisek, Martin",P1,2.09,250.0,272.5,WIN,BO-951665869-1
2026-04-03T16:00:00Z,"Sobisek, Martin",,"Sobisek, Martin",P1,2.15,250.0,287.5,WIN,BO-951665160-1
2026-04-03T16:00:00Z,"Vavrecka, Michal",,"Vavrecka, Michal",P1,1.87,287.5,-287.5,LOSS,BO-951632272-1
2026-04-03T16:00:00Z,"Sebera, Petr",,"Sebera, Petr",P1,1.87,100.0,86.96,WIN,BO-951630244-1
2026-04-03T16:00:00Z,"Sebera, Petr",,"Sebera, Petr",P1,1.87,115.0,100.0,WIN,BO-951630112-1
2026-04-03T16:00:00Z,"Guk, Martin",,"Guk, Martin",P1,2.44,100.0,-100.0,LOSS,BO-951629444-1
2026-04-03T16:00:00Z,"Guk, Martin",,"Guk, Martin",P1,2.44,250.0,-250.0,LOSS,BO-951629354-1
2026-04-03T16:00:00Z,"Vavrecka, Michal",,"Vavrecka, Michal",P1,1.926,200.0,-200.0,LOSS,BO-951626308-1
2026-04-03T16:00:00Z,"Sychra, Martin",,"Sychra, Martin",P1,2.46,250.0,-250.0,LOSS,BO-951625792-1
2026-04-02T16:00:00Z,"Velebil, Lukas",,"Velebil, Lukas",P1,1.676,150.0,101.35,WIN,BO-951346143-1
2026-04-02T16:00:00Z,"Petrek, Tomas",,"Petrek, Tomas",P1,1.676,150.0,101.35,WIN,BO-951343042-1
2026-04-02T16:00:00Z,"Levicky, Jakub",,"Levicky, Jakub",P1,2.81,200.0,-200.0,LOSS,BO-951321607-1
2026-04-01T16:00:00Z,"Vejvoda, Viktor",,"Vejvoda, Viktor",P1,3.12,90.0,190.8,WIN,BO-951242189-1
2026-04-01T16:00:00Z,"Klement, Milan",,"Klement, Milan",P1,1.769,300.0,230.77,WIN,BO-951213236-1
2026-04-01T16:00:00Z,"Klement, Milan",,"Klement, Milan",P1,1.833,300.0,250.0,WIN,BO-951212373-1
2026-04-01T16:00:00Z,"Opralka, Roman",,"Opralka, Roman",P1,2.62,170.0,-170.0,LOSS,BO-951131008-1
2026-03-31T16:00:00Z,"Kapras, Karel",,"Kapras, Karel",P1,1.625,200.0,125.0,WIN,BO-950931105-1
2026-03-31T16:00:00Z,"Kapras, Karel",,"Kapras, Karel",P1,1.625,400.0,250.0,WIN,BO-950930288-1
2026-03-30T16:00:00Z,"Steffan, Jan",,"Steffan, Jan",P1,2.17,250.0,-250.0,LOSS,BO-950765039-1
2026-03-30T16:00:00Z,"Steffan, Jan",,"Steffan, Jan",P1,2.27,250.0,-250.0,LOSS,BO-950764364-1
2026-03-30T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.27,100.0,127.0,WIN,BO-950702964-1
